System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.50(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.37(Debug=False)

Messages
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Türe Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Türe Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Heizung Venti Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Heizung Venti Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Heizung Venti Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Heizung Venti Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Heizung Venti Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Heizung Venti Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Türe Befehelsausgabe.Wechsel fahre nach"Fahre nach Aufträge"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Allgemein Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Allgemein Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 3 Allgmein.LGO 3 Allgemein Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Türe Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Türe Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Türe Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Türe Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Türe Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Türe Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Heizung Venti Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Heizung Venti Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Heizung Venti Störerfassung.IDB SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Heizung Venti Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Heizung Venti Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Heizung Venti Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Türe Befehelsausgabe.Wechsel fahre nach"Fahre nach Aufträge"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Allgemein Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Allgemein Störerfassung.Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 2 Allgmein.LGO 2 Allgemein Störerfassung.SammelmeldungBedienerführungen" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Türe Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Any" of item "RFC_RFC_IDB LGO 1 Allgemein.LGO 1 Türe Störerfassung.IDB Sammelmeldung"Störung Teilstart"" is not supported! | TIAParser.CreateMemberInfo() | 
